Protein1,Protein2
tr|Q9VND3|Q9VND3_DROME,XBmRNA57343|XBXL10_1g30445
sp|Q9VF78|COG2_DROME,XBmRNA47198|XBXL10_1g25289
tr|A0A6F7R657|A0A6F7R657_DROME,XBmRNA68045|XBXL10_1g35984
tr|Q9VWV5|Q9VWV5_DROME,XBmRNA61596|XBXL10_1g32627
sp|Q9VFC8|GYS_DROME,XBmRNA21317|XBXL10_1g11352
tr|Q9VEB8|Q9VEB8_DROME,XBmRNA75521|XBXL10_1g40140
tr|Q9VW13|Q9VW13_DROME,XBmRNA48000|XBXL10_1g25680
tr|Q9W1D3|Q9W1D3_DROME,XBmRNA66744|XBXL10_1g35363
tr|A0A126GUV7|A0A126GUV7_DROME,XBmRNA50015|XBXL10_1g26756
tr|Q7KSU3|Q7KSU3_DROME,XBmRNA57310|XBXL10_1g30424
tr|Q9VYB2|Q9VYB2_DROME,XBmRNA51282|XBXL10_1g27354
tr|Q9VL64|Q9VL64_DROME,XBmRNA44379|XBXL10_1g23757
tr|Q9VD15|Q9VD15_DROME,XBmRNA23838|XBXL10_1g12701
sp|Q9VA70|NCASE_DROME,XBmRNA56826|XBXL10_1g30193
tr|Q9VVT8|Q9VVT8_DROME,XBmRNA22884|XBXL10_1g12240
sp|Q9VI13|PAK_DROME,XBmRNA71800|XBXL10_1g37984
tr|Q9VRJ7|Q9VRJ7_DROME,XBmRNA77345|XBXL10_1g41001
tr|Q7K4L8|Q7K4L8_DROME,XBmRNA44161|XBXL10_1g23661
tr|Q9Y109|Q9Y109_DROME,XBmRNA34518|XBXL10_1g18726
sp|P17886|CRN_DROME,XBmRNA46861|XBXL10_1g25097
tr|Q9VKV6|Q9VKV6_DROME,XBmRNA80361|XBXL10_1g42745
tr|Q9VPR3|Q9VPR3_DROME,XBmRNA21513|XBXL10_1g11459
sp|Q95RJ9|EBI_DROME,XBmRNA13437|XBXL10_1g7163
sp|P32865|GPRK1_DROME,XBmRNA4491|XBXL10_1g2571
sp|P20480|NCD_DROME,XBmRNA66866|XBXL10_1g35413
sp|Q9UAS6|CMTR2_DROME,XBmRNA34878|XBXL10_1g18928
sp|Q7KNA0|DYM_DROME,XBmRNA6092|XBXL10_1g3342
sp|Q9VYM3|MKS1_DROME,XBmRNA12337|XBXL10_1g6590
tr|A1Z6H6|A1Z6H6_DROME,XBmRNA15949|XBXL10_1g8426
tr|Q9V9T5|Q9V9T5_DROME,XBmRNA48235|XBXL10_1g25798
sp|Q8MT80|PIGZ_DROME,XBmRNA44695|XBXL10_1g23926
tr|Q9VAV2|Q9VAV2_DROME,XBmRNA41937|XBXL10_1g22520
sp|Q9VRH6|GUF1_DROME,XBmRNA1113|XBXL10_1g786
sp|Q9VA73|CMC_DROME,XBmRNA54346|XBXL10_1g28890
tr|Q9VL25|Q9VL25_DROME,XBmRNA14300|XBXL10_1g7617
sp|Q9VVX3|FRIZ2_DROME,XBmRNA77211|XBXL10_1g40921
tr|Q9VIX4|Q9VIX4_DROME,XBmRNA773|XBXL10_1g649
sp|Q9VSJ8|EXOC7_DROME,XBmRNA75425|XBXL10_1g40097
tr|Q8SY02|Q8SY02_DROME,XBmRNA74166|XBXL10_1g39351
tr|Q8SWW9|Q8SWW9_DROME,XBmRNA27665|XBXL10_1g14846
tr|A1Z6L9|A1Z6L9_DROME,XBmRNA77972|XBXL10_1g41319
sp|Q9W1V1|ANM7_DROME,XBmRNA34136|XBXL10_1g18545
sp|Q0E940|EIF3B_DROME,XBmRNA82518|XBXL10_1g43842
tr|Q9VWH1|Q9VWH1_DROME,XBmRNA42038|XBXL10_1g22557
sp|P26802|DDX51_DROME,XBmRNA4699|XBXL10_1g2678
tr|Q9VG59|Q9VG59_DROME,XBmRNA34865|XBXL10_1g18919
sp|Q9VXT5|C19L2_DROME,XBmRNA16036|XBXL10_1g8472
sp|P29845|HSP7E_DROME,XBmRNA28367|XBXL10_1g15213
tr|Q9VAP8|Q9VAP8_DROME,XBmRNA64565|XBXL10_1g34232
tr|A1Z992|A1Z992_DROME,XBmRNA16897|XBXL10_1g9072
tr|Q7JY94|Q7JY94_DROME,XBmRNA37476|XBXL10_1g20187
sp|Q9VE51|CPSF3_DROME,XBmRNA45644|XBXL10_1g24377
tr|Q9VJ39|Q9VJ39_DROME,XBmRNA23315|XBXL10_1g12467
tr|Q9VIE7|Q9VIE7_DROME,XBmRNA48472|XBXL10_1g25917
sp|Q9VH19|LMLN_DROME,XBmRNA75960|XBXL10_1g40403
tr|Q9VRX7|Q9VRX7_DROME,XBmRNA82651|XBXL10_1g43928
sp|Q04499|PROD_DROME,XBmRNA4545|XBXL10_1g2602
tr|Q9VEA9|Q9VEA9_DROME,XBmRNA67403|XBXL10_1g35705
sp|Q9VD51|DDX18_DROME,XBmRNA81314|XBXL10_1g43256
sp|Q27597|NCPR_DROME,XBmRNA14029|XBXL10_1g7442
tr|A0A0B4LID7|A0A0B4LID7_DROME,XBmRNA25423|XBXL10_1g13392
tr|Q9VR29|Q9VR29_DROME,XBmRNA80713|XBXL10_1g42943
sp|Q9VH78|ALG12_DROME,XBmRNA23914|XBXL10_1g12729
sp|Q9V4W1|GLE1_DROME,XBmRNA65061|XBXL10_1g34451
tr|Q9W464|Q9W464_DROME,XBmRNA53321|XBXL10_1g28384
tr|Q7JXU4|Q7JXU4_DROME,XBmRNA13699|XBXL10_1g7277
tr|Q9VC92|Q9VC92_DROME,XBmRNA23365|XBXL10_1g12489
sp|Q9VIK9|EFNMT_DROME,XBmRNA40554|XBXL10_1g21850
tr|Q9W0C4|Q9W0C4_DROME,XBmRNA25746|XBXL10_1g13551
tr|Q7KRZ3|Q7KRZ3_DROME,XBmRNA47358|XBXL10_1g25360
sp|Q9VNG1|GGNB2_DROME,XBmRNA18275|XBXL10_1g9771
sp|P83099|KPC4_DROME,XBmRNA36574|XBXL10_1g19775
sp|Q9W074|HBS1_DROME,XBmRNA43695|XBXL10_1g23409
sp|Q9VP61|ACSA_DROME,XBmRNA75134|XBXL10_1g39962
tr|Q9W541|Q9W541_DROME,XBmRNA48008|XBXL10_1g25685
sp|Q9VM21|GUDU_DROME,XBmRNA54111|XBXL10_1g28776
tr|Q8T0D3|Q8T0D3_DROME,XBmRNA51931|XBXL10_1g27667
tr|Q0E931|Q0E931_DROME,XBmRNA40970|XBXL10_1g22038
sp|Q1LZ08|WDR48_DROME,XBmRNA50038|XBXL10_1g26772
sp|A1YK02|NUP75_DROME,XBmRNA75353|XBXL10_1g40064
tr|Q7JX95|Q7JX95_DROME,XBmRNA69434|XBXL10_1g36809
sp|Q9VXN4|SYRC_DROME,XBmRNA31050|XBXL10_1g16536
tr|Q9VWC8|Q9VWC8_DROME,XBmRNA40448|XBXL10_1g21807
tr|A1Z7C1|A1Z7C1_DROME,XBmRNA54799|XBXL10_1g29153
tr|Q9VQR3|Q9VQR3_DROME,XBmRNA35301|XBXL10_1g19108
tr|Q9VE69|Q9VE69_DROME,XBmRNA82201|XBXL10_1g43657
tr|Q9VEL2|Q9VEL2_DROME,XBmRNA68021|XBXL10_1g35969
tr|E1JIB4|E1JIB4_DROME,XBmRNA57369|XBXL10_1g30456
sp|Q8MSG8|APTX_DROME,XBmRNA2542|XBXL10_1g1464
tr|Q9VMQ8|Q9VMQ8_DROME,XBmRNA66852|XBXL10_1g35404
tr|Q9W245|Q9W245_DROME,XBmRNA83480|XBXL10_1g44426
sp|P40421|RDGC_DROME,XBmRNA2135|XBXL10_1g1298
tr|Q9VYI6|Q9VYI6_DROME,XBmRNA67204|XBXL10_1g35588
tr|Q9VV90|Q9VV90_DROME,XBmRNA49973|XBXL10_1g26730
tr|Q9VIK1|Q9VIK1_DROME,XBmRNA66666|XBXL10_1g35323
sp|Q9VMD6|RETM_DROME,XBmRNA78239|XBXL10_1g41461
tr|Q8IMH9|Q8IMH9_DROME,XBmRNA35532|XBXL10_1g19232
tr|Q9VRY7|Q9VRY7_DROME,XBmRNA43481|XBXL10_1g23322
tr|Q8IQV1|Q8IQV1_DROME,XBmRNA1891|XBXL10_1g1173
tr|Q9W124|Q9W124_DROME,XBmRNA24417|XBXL10_1g12905
sp|P29844|BIP_DROME,XBmRNA71452|XBXL10_1g37796
tr|Q9VMI1|Q9VMI1_DROME,XBmRNA70766|XBXL10_1g37484
tr|Q9VX51|Q9VX51_DROME,XBmRNA74853|XBXL10_1g39785
sp|Q9W1J3|GAD1_DROME,XBmRNA5890|XBXL10_1g3253
sp|Q9VK41|TTC30_DROME,XBmRNA54672|XBXL10_1g29072
tr|A0A0C4FEI8|A0A0C4FEI8_DROME,XBmRNA80108|XBXL10_1g42603
tr|Q9VBC7|Q9VBC7_DROME,XBmRNA46322|XBXL10_1g24817
sp|Q95TS5|INT9_DROME,XBmRNA49134|XBXL10_1g26291
tr|Q9VFX6|Q9VFX6_DROME,XBmRNA50796|XBXL10_1g27131
tr|Q9XYZ6|Q9XYZ6_DROME,XBmRNA47349|XBXL10_1g25355
sp|Q7K4H4|NO66_DROME,XBmRNA42954|XBXL10_1g23050
sp|Q9VBP9|NPL4_DROME,XBmRNA80417|XBXL10_1g42776
sp|Q9V411|NOG1_DROME,XBmRNA50134|XBXL10_1g26816
sp|Q8IMX7|MIRO_DROME,XBmRNA81285|XBXL10_1g43239
sp|A1Z9A8|PTCD3_DROME,XBmRNA628|XBXL10_1g583
tr|Q9VY44|Q9VY44_DROME,XBmRNA47693|XBXL10_1g25555
tr|Q9VPJ1|Q9VPJ1_DROME,XBmRNA79873|XBXL10_1g42490
tr|A0A0B4KF61|A0A0B4KF61_DROME,XBmRNA68064|XBXL10_1g35990
sp|Q9VEC3|ARP5_DROME,XBmRNA80707|XBXL10_1g42939
tr|Q9VXA3|Q9VXA3_DROME,XBmRNA70107|XBXL10_1g37162
tr|Q9VC60|Q9VC60_DROME,XBmRNA58854|XBXL10_1g31109
tr|A1Z782|A1Z782_DROME,XBmRNA41719|XBXL10_1g22417
sp|Q9VEC1|MED17_DROME,XBmRNA16103|XBXL10_1g8518
sp|Q9VA00|ZWILC_DROME,XBmRNA29039|XBXL10_1g15538
tr|Q8IQZ7|Q8IQZ7_DROME,XBmRNA66585|XBXL10_1g35278
tr|Q9VQX6|Q9VQX6_DROME,XBmRNA72200|XBXL10_1g38216
sp|Q8MRW5|ET96B_DROME,XBmRNA80428|XBXL10_1g42780
sp|Q24179|SLY1_DROME,XBmRNA68464|XBXL10_1g36167
sp|Q8T6B9|PUF68_DROME,XBmRNA53468|XBXL10_1g28447
tr|Q9W4R7|Q9W4R7_DROME,XBmRNA36308|XBXL10_1g19625
tr|Q9W3K4|Q9W3K4_DROME,XBmRNA54882|XBXL10_1g29200
tr|Q960Q8|Q960Q8_DROME,XBmRNA10607|XBXL10_1g5651
tr|Q9VKJ8|Q9VKJ8_DROME,XBmRNA2188|XBXL10_1g1324
tr|Q7JRC9|Q7JRC9_DROME,XBmRNA35878|XBXL10_1g19406
tr|Q9W4D1|Q9W4D1_DROME,XBmRNA37327|XBXL10_1g20129
tr|Q9W3G0|Q9W3G0_DROME,XBmRNA75241|XBXL10_1g39996
sp|Q9VFC0|SCC4_DROME,XBmRNA3366|XBXL10_1g1887
sp|Q23976|KU70_DROME,XBmRNA36169|XBXL10_1g19546
sp|Q9VZM7|INT10_DROME,XBmRNA2583|XBXL10_1g1481
sp|Q7K0L4|WDR26_DROME,XBmRNA46520|XBXL10_1g24938
tr|Q9V3N6|Q9V3N6_DROME,XBmRNA73402|XBXL10_1g38890
tr|Q9V9Z6|Q9V9Z6_DROME,XBgroup167
tr|Q9VK21|Q9VK21_DROME,XBmRNA35370|XBXL10_1g19132
tr|A1ZBJ2|A1ZBJ2_DROME,XBmRNA27596|XBXL10_1g14801
sp|Q9VUL1|PYRG_DROME,XBmRNA18615|XBXL10_1g9967
sp|Q95SP2|HRD1_DROME,XBmRNA33305|XBXL10_1g18038
tr|Q8MQK4|Q8MQK4_DROME,XBmRNA49331|XBXL10_1g26417
tr|Q7JVG6|Q7JVG6_DROME,XBmRNA21466|XBXL10_1g11440
tr|Q9W1Q8|Q9W1Q8_DROME,XBmRNA46174|XBXL10_1g24734
tr|Q9VI15|Q9VI15_DROME,XBmRNA34096|XBXL10_1g18531
sp|Q9VIF1|MUT7_DROME,XBmRNA64518|XBXL10_1g34205
tr|Q8SZ15|Q8SZ15_DROME,XBmRNA2433|XBXL10_1g1408
sp|Q9VUU5|KLHDB_DROME,XBmRNA35925|XBXL10_1g19440
tr|Q9VBV8|Q9VBV8_DROME,XBmRNA58897|XBXL10_1g31131
sp|P51905|SC6A4_DROME,XBmRNA4480|XBXL10_1g2565
tr|A1Z7L8|A1Z7L8_DROME,XBmRNA54876|XBXL10_1g29194
sp|Q9VFS2|NINAB_DROME,XBmRNA34254|XBXL10_1g18608
tr|Q9XYZ4|Q9XYZ4_DROME,XBmRNA16093|XBXL10_1g8510
tr|Q9VK85|Q9VK85_DROME,XBmRNA77528|XBXL10_1g41088
sp|Q9V3C0|DDX41_DROME,XBmRNA23120|XBXL10_1g12376
tr|Q9VMI9|Q9VMI9_DROME,XBmRNA20827|XBXL10_1g11072
tr|Q59DN5|Q59DN5_DROME,XBmRNA18117|XBXL10_1g9700
sp|Q24168|ORC2_DROME,XBmRNA82185|XBXL10_1g43645
tr|Q9VB02|Q9VB02_DROME,XBmRNA54244|XBXL10_1g28835
tr|Q9W232|Q9W232_DROME,XBmRNA20790|XBXL10_1g11044
sp|Q9VE46|SC5A7_DROME,XBmRNA19446|XBXL10_1g10399
sp|Q9U5L1|SRPRA_DROME,XBmRNA58643|XBXL10_1g31022
tr|O46085|O46085_DROME,XBmRNA61177|XBXL10_1g32432
sp|Q9VHU1|DDX55_DROME,XBmRNA9992|XBXL10_1g5358
sp|Q9VL76|PEO1_DROME,XBmRNA57267|XBXL10_1g30404
sp|Q9VJG0|XPP_DROME,XBmRNA56450|XBXL10_1g29990
tr|Q9VXR5|Q9VXR5_DROME,XBmRNA49390|XBXL10_1g26445
sp|Q8INB9|AKT1_DROME,XBmRNA72433|XBXL10_1g38341
tr|Q9V9M6|Q9V9M6_DROME,XBmRNA77540|XBXL10_1g41092
sp|Q9VSS1|ABCE1_DROME,XBmRNA7231|XBXL10_1g3958
tr|Q7KVU5|Q7KVU5_DROME,XBmRNA39321|XBXL10_1g21247
sp|Q9VUB4|NPRL3_DROME,XBmRNA77401|XBXL10_1g41024
sp|Q9VB62|DPOA2_DROME,XBmRNA33324|XBXL10_1g18050
sp|Q9VI74|SHQ1_DROME,XBmRNA37158|XBXL10_1g20067
sp|Q9VCE6|MTA70_DROME,XBmRNA4188|XBXL10_1g2392
sp|Q9VU68|WDR1_DROME,XBmRNA861|XBXL10_1g687
tr|Q9W327|Q9W327_DROME,XBmRNA34634|XBXL10_1g18785
sp|Q9VUR0|UFSP2_DROME,XBmRNA1288|XBXL10_1g870
sp|Q9VX09|ARP8_DROME,XBmRNA41761|XBXL10_1g22431
sp|Q9W590|LSG1_DROME,XBmRNA44752|XBXL10_1g23936
sp|A1Z9X0|APKC_DROME,XBmRNA48366|XBXL10_1g25845
tr|Q9VS19|Q9VS19_DROME,XBmRNA33842|XBXL10_1g18409
sp|Q9VM60|MCMBP_DROME,XBmRNA56614|XBXL10_1g30070
sp|Q9VEX6|ATD3A_DROME,XBmRNA63117|XBXL10_1g33441
sp|Q9VE87|HMW_DROME,XBmRNA1291|XBXL10_1g874
tr|Q8MRJ2|Q8MRJ2_DROME,XBmRNA46672|XBXL10_1g25012
tr|Q7JWF1|Q7JWF1_DROME,XBmRNA1465|XBXL10_1g951
tr|Q9VIS4|Q9VIS4_DROME,XBmRNA50428|XBXL10_1g26926
tr|Q9W397|Q9W397_DROME,XBmRNA75882|XBXL10_1g40357
sp|Q9VS60|SMSR1_DROME,XBmRNA62350|XBXL10_1g33025
sp|Q9VMX1|KBP_DROME,XBmRNA61749|XBXL10_1g32706
tr|M9PER3|M9PER3_DROME,XBmRNA65456|XBXL10_1g34636
sp|Q9VXJ0|DHB4_DROME,XBmRNA5276|XBXL10_1g2953
tr|Q9VW52|Q9VW52_DROME,XBmRNA72873|XBXL10_1g38611
tr|Q9VWA6|Q9VWA6_DROME,XBmRNA34653|XBXL10_1g18796
tr|Q9V3F2|Q9V3F2_DROME,XBmRNA70596|XBXL10_1g37399
sp|Q9VAH9|INT11_DROME,XBmRNA59144|XBXL10_1g31264
sp|Q07327|ROP_DROME,XBmRNA71364|XBXL10_1g37756
tr|Q7K3N1|Q7K3N1_DROME,XBmRNA61859|XBXL10_1g32782
sp|P49283|MVL_DROME,XBmRNA20305|XBXL10_1g10789
tr|Q9W362|Q9W362_DROME,XBmRNA1790|XBXL10_1g1140
tr|A1ZAC7|A1ZAC7_DROME,XBmRNA75912|XBXL10_1g40376
tr|Q8IPQ2|Q8IPQ2_DROME,XBmRNA53029|XBXL10_1g28231
sp|Q9Y113|NELFB_DROME,XBmRNA64597|XBXL10_1g34253
sp|P28159|SUH_DROME,XBmRNA6804|XBXL10_1g3739
tr|Q8SXK2|Q8SXK2_DROME,XBmRNA47702|XBXL10_1g25559
tr|Q9VM49|Q9VM49_DROME,XBmRNA80783|XBXL10_1g42980
tr|Q9VRN1|Q9VRN1_DROME,XBmRNA61938|XBXL10_1g32810
sp|Q9W0I6|SAC1_DROME,XBmRNA51386|XBXL10_1g27404
sp|P36179|2AAA_DROME,XBmRNA58895|XBXL10_1g31130
tr|Q9VC18|Q9VC18_DROME,XBmRNA76904|XBXL10_1g40814
tr|Q9VKC8|Q9VKC8_DROME,XBmRNA16840|XBXL10_1g9049
sp|Q9VCA5|SYFB_DROME,XBmRNA45186|XBXL10_1g24156
sp|Q9VPY0|INT14_DROME,XBmRNA29059|XBXL10_1g15555
tr|Q7K187|Q7K187_DROME,XBmRNA80369|XBXL10_1g42749
sp|Q9VJ34|GSTCD_DROME,XBmRNA1901|XBXL10_1g1180
tr|Q9VTL5|Q9VTL5_DROME,XBmRNA55076|XBXL10_1g29305
tr|Q0E8F2|Q0E8F2_DROME,XBmRNA26947|XBXL10_1g14284
sp|Q9VGZ1|CK5P1_DROME,XBmRNA74824|XBXL10_1g39769
sp|P16912|KAPC3_DROME,XBmRNA12262|XBXL10_1g6550
tr|Q9VSJ5|Q9VSJ5_DROME,XBmRNA64434|XBXL10_1g34154
tr|O18645|O18645_DROME,XBmRNA35295|XBXL10_1g19103
sp|Q9VFL5|SYMM_DROME,XBmRNA65685|XBXL10_1g34746
sp|Q8MT06|GNL3_DROME,XBmRNA71306|XBXL10_1g37732
tr|Q9VHJ7|Q9VHJ7_DROME,XBmRNA75024|XBXL10_1g39893
sp|Q9VWD4|Y4230_DROME,XBmRNA36612|XBXL10_1g19792
tr|Q9VYT5|Q9VYT5_DROME,XBmRNA56020|XBXL10_1g29751
sp|Q9VQM4|TYDP1_DROME,XBmRNA67552|XBXL10_1g35763
tr|E1JHQ6|E1JHQ6_DROME,XBmRNA60068|XBXL10_1g31825
sp|Q9V9A7|MCCB_DROME,XBmRNA10469|XBXL10_1g5584
sp|P46150|MOEH_DROME,XBmRNA16061|XBXL10_1g8488
sp|Q24134|NELFD_DROME,XBmRNA74232|XBXL10_1g39383
sp|O17444|VACHT_DROME,XBmRNA62310|XBXL10_1g32994
sp|Q05913|T2FA_DROME,XBmRNA26910|XBXL10_1g14264
tr|X2JDZ1|X2JDZ1_DROME,XBmRNA41265|XBXL10_1g22198
sp|Q9VQ91|TDRKH_DROME,XBmRNA69786|XBXL10_1g37002
tr|A1ZBX0|A1ZBX0_DROME,XBmRNA43796|XBXL10_1g23459
tr|Q9W4F7|Q9W4F7_DROME,XBmRNA57920|XBXL10_1g30707
sp|P52304|POLO_DROME,XBmRNA82708|XBXL10_1g43963
tr|Q9VD52|Q9VD52_DROME,XBmRNA43842|XBXL10_1g23486
sp|Q24180|DEAF1_DROME,XBmRNA33360|XBXL10_1g18065
tr|Q9VGE5|Q9VGE5_DROME,XBmRNA53876|XBXL10_1g28669
tr|Q9VYD9|Q9VYD9_DROME,XBmRNA34795|XBXL10_1g18878
tr|Q24062|Q24062_DROME,XBmRNA15644|XBXL10_1g8273
sp|P56721|COLL_DROME,XBmRNA57042|XBXL10_1g30297
sp|O01939|MST_DROME,XBmRNA69908|XBXL10_1g37061
sp|Q9VAQ7|SLU7_DROME,XBmRNA22620|XBXL10_1g12129
tr|Q9VHB5|Q9VHB5_DROME,XBmRNA72897|XBXL10_1g38627
tr|Q9VH02|Q9VH02_DROME,XBmRNA23395|XBXL10_1g12503
tr|A4IJ72|A4IJ72_DROME,XBmRNA15207|XBXL10_1g8047
sp|P18932|NU5M_DROME,XBmRNA101837|XBXL10_1g44455
sp|P17971|KCNAL_DROME,XBmRNA17996|XBXL10_1g9654
tr|Q9VF41|Q9VF41_DROME,XBmRNA36192|XBXL10_1g19561
sp|Q9VKH0|COG8_DROME,XBmRNA34573|XBXL10_1g18749
sp|Q01820|GCL_DROME,XBmRNA25653|XBXL10_1g13501
sp|Q9VNA8|DONS_DROME,XBmRNA11752|XBXL10_1g6259
tr|Q9VEB6|Q9VEB6_DROME,XBmRNA41335|XBXL10_1g22236
tr|Q7K3B7|Q7K3B7_DROME,XBmRNA50780|XBXL10_1g27118
tr|Q8IMX1|Q8IMX1_DROME,XBmRNA2171|XBXL10_1g1314
sp|P83103|HASP_DROME,XBmRNA49378|XBXL10_1g26443
sp|O97477|INO1_DROME,XBmRNA8429|XBXL10_1g4545
sp|Q8IQF1|MOCS1_DROME,XBmRNA42387|XBXL10_1g22740
tr|Q960U8|Q960U8_DROME,XBmRNA53477|XBXL10_1g28450
tr|A0A0C4DHC8|A0A0C4DHC8_DROME,XBmRNA14011|XBXL10_1g7428
sp|Q9VJ62|NAF1_DROME,XBmRNA1442|XBXL10_1g944
sp|Q5LJP9|ASND1_DROME,XBmRNA77269|XBXL10_1g40958
tr|Q8IP91|Q8IP91_DROME,XBmRNA41661|XBXL10_1g22378
tr|Q8IQX8|Q8IQX8_DROME,XBmRNA22632|XBXL10_1g12136
tr|Q9NG60|Q9NG60_DROME,XBmRNA18375|XBXL10_1g9813
tr|Q86B44|Q86B44_DROME,XBmRNA75136|XBXL10_1g39963
sp|Q7KSD8|TAD2A_DROME,XBmRNA13071|XBXL10_1g6980
tr|Q9VYG3|Q9VYG3_DROME,XBmRNA54777|XBXL10_1g29136
sp|Q9VUY9|PGM_DROME,XBmRNA35209|XBXL10_1g19074
sp|Q9W462|UBP30_DROME,XBmRNA4429|XBXL10_1g2539
tr|Q9V434|Q9V434_DROME,XBmRNA10891|XBXL10_1g5826
tr|Q7KTW9|Q7KTW9_DROME,XBmRNA50511|XBXL10_1g26967
tr|Q7K3P0|Q7K3P0_DROME,XBmRNA14725|XBXL10_1g7814
tr|Q9VTG5|Q9VTG5_DROME,XBmRNA53492|XBXL10_1g28458
sp|P12613|TCPA_DROME,XBmRNA42991|XBXL10_1g23064
tr|Q9VHH8|Q9VHH8_DROME,XBmRNA22628|XBXL10_1g12133
tr|Q9VZV9|Q9VZV9_DROME,XBmRNA45455|XBXL10_1g24273
sp|Q9Y123|RFT1_DROME,XBmRNA36573|XBXL10_1g19774
tr|Q7K204|Q7K204_DROME,XBmRNA72113|XBXL10_1g38172
tr|Q9W0K2|Q9W0K2_DROME,XBmRNA32395|XBXL10_1g17588
sp|Q9VQX4|PNCB_DROME,XBmRNA56269|XBXL10_1g29886
sp|Q9VN45|SPART_DROME,XBmRNA15842|XBXL10_1g8365
sp|Q2PE14|ZCHC8_DROME,XBmRNA5025|XBXL10_1g2824
tr|Q9VVI0|Q9VVI0_DROME,XBmRNA64482|XBXL10_1g34185
sp|Q9VQZ6|ELP3_DROME,XBmRNA45941|XBXL10_1g24572
sp|P35381|ATPA_DROME,XBmRNA6137|XBXL10_1g3365
sp|Q7K4W1|CDKAL_DROME,XBmRNA55202|XBXL10_1g29374
tr|Q9VYV4|Q9VYV4_DROME,XBmRNA78222|XBXL10_1g41449
tr|Q9VTZ4|Q9VTZ4_DROME,XBmRNA44074|XBXL10_1g23607
tr|Q9VPP9|Q9VPP9_DROME,XBmRNA67539|XBXL10_1g35760
sp|P39736|BX42_DROME,XBmRNA70594|XBXL10_1g37397
tr|Q95RC5|Q95RC5_DROME,XBmRNA18082|XBXL10_1g9689
tr|Q9VS51|Q9VS51_DROME,XBmRNA1678|XBXL10_1g1081
tr|Q7K3J0|Q7K3J0_DROME,XBmRNA11816|XBXL10_1g6297
sp|A1Z8J0|C19L1_DROME,XBmRNA2707|XBXL10_1g1530
sp|Q9V7Y2|SGPL_DROME,XBmRNA57836|XBXL10_1g30668
tr|Q9VN21|Q9VN21_DROME,XBmRNA34635|XBXL10_1g18786
tr|Q9W413|Q9W413_DROME,XBmRNA68371|XBXL10_1g36124
sp|P48605|TCPG_DROME,XBmRNA73126|XBXL10_1g38763
sp|Q6NL34|TCAB1_DROME,XBmRNA27418|XBXL10_1g14655
tr|Q7KKI0|Q7KKI0_DROME,XBmRNA54835|XBXL10_1g29169
tr|Q8IR48|Q8IR48_DROME,XBmRNA45743|XBXL10_1g24442
sp|O02194|PSN_DROME,XBmRNA70123|XBXL10_1g37166
tr|Q9VV98|Q9VV98_DROME,XBmRNA76313|XBXL10_1g40564
sp|Q9VC57|ATLAS_DROME,XBmRNA46894|XBXL10_1g25113
tr|Q9W0X8|Q9W0X8_DROME,XBmRNA5920|XBXL10_1g3272
tr|Q9W212|Q9W212_DROME,XBmRNA20037|XBXL10_1g10666
sp|A1ZB91|DAAF3_DROME,XBmRNA59610|XBXL10_1g31538
tr|Q0E8P0|Q0E8P0_DROME,XBmRNA58645|XBXL10_1g31024
tr|Q8T8W3|Q8T8W3_DROME,XBmRNA38077|XBXL10_1g20695
tr|Q8SXQ1|Q8SXQ1_DROME,XBmRNA5249|XBXL10_1g2936
sp|Q9VTU4|EIF3L_DROME,XBmRNA36490|XBXL10_1g19724
tr|Q9VKM4|Q9VKM4_DROME,XBmRNA25309|XBXL10_1g13347
tr|O18680|O18680_DROME,XBmRNA71293|XBXL10_1g37725
sp|P40797|PNUT_DROME,XBmRNA54809|XBXL10_1g29157
sp|Q9VPB1|ST7_DROME,XBmRNA30307|XBXL10_1g16167
tr|Q9W457|Q9W457_DROME,XBmRNA15347|XBXL10_1g8113
sp|Q07152|IMDH_DROME,XBmRNA41416|XBXL10_1g22283
tr|Q9VPT3|Q9VPT3_DROME,XBmRNA34062|XBXL10_1g18509
tr|Q9VQ34|Q9VQ34_DROME,XBmRNA42775|XBXL10_1g22959
sp|Q9I7H9|OGFD1_DROME,XBmRNA34223|XBXL10_1g18589
tr|Q9VC10|Q9VC10_DROME,XBmRNA12202|XBXL10_1g6510
tr|A0A0B4KEJ7|A0A0B4KEJ7_DROME,XBmRNA9601|XBXL10_1g5161
tr|Q9W392|Q9W392_DROME,XBmRNA23574|XBXL10_1g12589
tr|Q9VAU6|Q9VAU6_DROME,XBmRNA22335|XBXL10_1g11966
tr|A1ZBK6|A1ZBK6_DROME,XBmRNA47732|XBXL10_1g25571
tr|Q9W418|Q9W418_DROME,XBmRNA9956|XBXL10_1g5347
tr|Q9VK69|Q9VK69_DROME,XBmRNA46273|XBXL10_1g24794
tr|Q7K511|Q7K511_DROME,XBmRNA48655|XBXL10_1g26004
sp|Q0KHU5|PCAT_DROME,XBmRNA54932|XBXL10_1g29227
tr|Q9VXQ5|Q9VXQ5_DROME,XBmRNA14207|XBXL10_1g7561
sp|Q9VPH2|PRI2_DROME,XBmRNA47880|XBXL10_1g25626
tr|Q7K0E6|Q7K0E6_DROME,XBmRNA81597|XBXL10_1g43398
tr|Q9W486|Q9W486_DROME,XBmRNA73272|XBXL10_1g38835
